filename, fileSize [kb], RoIs, capture [ms], resize [ms], faceDetect [ms], writeToDisk[ms], encryption [ms]
50-image0017-640x480.jpg, 22076, 8, 55.9599399567, 36.5390777588, 1686.68794632, 133.027076721, 119.802951813
50-image0018-640x480.jpg, 21942, 8, 56.9190979004, 39.4310951233, 1753.64089012, 132.196903229, 122.943162918
50-image0019-640x480.jpg, 22388, 8, 55.8280944824, 36.502122879, 1680.0069809, 134.051084518, 118.411064148
50-image0020-640x480.jpg, 22342, 8, 55.8648109436, 37.5010967255, 1698.59910011, 132.806062698, 118.33691597
50-image0021-640x480.jpg, 21457, 8, 55.4308891296, 45.4919338226, 1784.81817245, 132.053136826, 116.017818451
50-image0022-640x480.jpg, 21551, 8, 55.9628009796, 37.5828742981, 1718.50585938, 132.84277916, 123.75998497
50-image0023-640x480.jpg, 22620, 8, 55.9520721436, 36.7238521576, 1823.04692268, 132.490158081, 123.597860336
50-image0024-640x480.jpg, 22469, 8, 55.860042572, 39.9270057678, 1775.37107468, 132.683992386, 121.016979218
50-image0025-640x480.jpg, 22159, 8, 55.6149482727, 36.651134491, 1728.43408585, 132.251977921, 119.009017944
50-image0026-640x480.jpg, 21405, 8, 55.8061599731, 37.4269485474, 1854.10785675, 132.19499588, 118.288993835
50-image0027-640x480.jpg, 22415, 8, 55.7980537415, 38.941860199, 1743.64089966, 132.587909698, 118.988037109
50-image0028-640x480.jpg, 22441, 8, 56.067943573, 37.7151966095, 1716.54677391, 134.588003159, 118.651866913
50-image0029-640x480.jpg, 22226, 8, 55.5031299591, 38.8100147247, 1745.53704262, 132.620811462, 122.038841248
50-image0030-640x480.jpg, 21511, 8, 55.459022522, 37.9650592804, 1769.0551281, 132.1849823, 123.240947723
50-image0031-640x480.jpg, 22337, 8, 56.1528205872, 40.4670238495, 1756.77895546, 133.051872253, 120.931863785
50-image0032-640x480.jpg, 22586, 8, 55.8931827545, 42.7339076996, 1738.54017258, 132.483959198, 129.816055298
50-image0033-640x480.jpg, 21618, 8, 55.7661056519, 58.1510066986, 1777.6529789, 134.790182114, 117.398023605
50-image0034-640x480.jpg, 22244, 8, 58.3810806274, 37.8198623657, 1827.37517357, 132.271051407, 117.969036102
50-image0035-640x480.jpg, 22524, 8, 55.8609962463, 36.7288589478, 2057.44600296, 132.462978363, 141.590118408
50-image0036-640x480.jpg, 22296, 8, 62.3641014099, 40.5972003937, 1821.67005539, 132.555007935, 135.91003418
50-image0037-640x480.jpg, 22035, 8, 56.0200214386, 37.2521877289, 1783.8139534, 133.203029633, 117.498874664
50-image0038-640x480.jpg, 21477, 8, 60.0490570068, 49.6110916138, 1817.03400612, 131.641149521, 121.007919312
50-image0039-640x480.jpg, 22308, 8, 57.1601390839, 36.5498065948, 1893.43094826, 132.589817047, 118.772029877
