filename, fileSize [kb], RoIs, capture [ms], faceDetect [ms], convert[ms], encryption [ms], writeToDisk
../../testImages/100quality/100-image0071-640x480.jpg, 260337, 8, 40.8339, 221.223, 138.742, 49.2225, 3.23983
../../testImages/100quality/100-image0072-640x480.jpg, 270348, 8, 39.136, 213.499, 140.184, 51.8163, 3.35983
../../testImages/100quality/100-image0073-640x480.jpg, 258404, 8, 39.9769, 265.33, 138.423, 48.5455, 3.20883
../../testImages/100quality/100-image0074-640x480.jpg, 261134, 8, 39.14, 312.028, 219.284, 49.4294, 3.24783
../../testImages/100quality/100-image0075-640x480.jpg, 273125, 8, 41.7458, 214.994, 140.119, 58.519, 3.34783
../../testImages/100quality/100-image0076-640x480.jpg, 265751, 8, 39.489, 228.086, 146.37, 51.8933, 3.64581
../../testImages/100quality/100-image0077-640x480.jpg, 261305, 8, 46.7576, 216.782, 138.578, 49.4044, 3.73481
../../testImages/100quality/100-image0078-640x480.jpg, 264266, 8, 39.236, 268.493, 165.554, 50.9214, 3.65481
../../testImages/100quality/100-image0079-640x480.jpg, 264729, 8, 39.7479, 213.959, 139.095, 50.2444, 3.35483
../../testImages/100quality/100-image0080-640x480.jpg, 273264, 8, 39.7299, 240.423, 140.869, 54.1362, 3.23383
../../testImages/100quality/100-image0081-640x480.jpg, 260064, 8, 40.7419, 214.477, 187.237, 51.4843, 39.028
../../testImages/100quality/100-image0082-640x480.jpg, 263652, 8, 70.4874, 251.855, 138.52, 49.4194, 3.24583
../../testImages/100quality/100-image0083-640x480.jpg, 267602, 8, 48.0105, 213.392, 140.071, 50.7054, 3.25983
../../testImages/100quality/100-image0084-640x480.jpg, 277051, 8, 40.3589, 220.716, 140.683, 53.2922, 3.39182
../../testImages/100quality/100-image0085-640x480.jpg, 260422, 8, 41.8328, 214.381, 138.647, 48.9405, 3.11784
../../testImages/100quality/100-image0086-640x480.jpg, 262869, 8, 40.8669, 264.18, 143.189, 50.6954, 3.35783
../../testImages/100quality/100-image0087-640x480.jpg, 273914, 8, 40.5449, 210.283, 140.559, 55.5791, 3.34583
../../testImages/100quality/100-image0088-640x480.jpg, 266680, 8, 38.976, 304.354, 191.896, 50.3414, 3.35583
../../testImages/100quality/100-image0089-640x480.jpg, 264237, 8, 42.2928, 211.221, 139.092, 52.2993, 3.19483
../../testImages/100quality/100-image0090-640x480.jpg, 260905, 8, 38.958, 211.956, 138.52, 51.5063, 3.20883
../../testImages/100quality/100-image0091-640x480.jpg, 277736, 8, 46.1896, 212.743, 140.372, 55.5151, 3.38282
../../testImages/100quality/100-image0092-640x480.jpg, 268786, 8, 38.845, 257.957, 139.338, 52.6283, 3.67481
../../testImages/100quality/100-image0093-640x480.jpg, 265739, 8, 39.7919, 215.279, 139.078, 49.7744, 3.74681
../../testImages/100quality/100-image0094-640x480.jpg, 262314, 8, 39.057, 268.34, 172.259, 48.8625, 3.48482
../../testImages/100quality/100-image0095-640x480.jpg, 268532, 8, 86.5915, 226.424, 139.273, 50.6014, 3.65081
../../testImages/100quality/100-image0096-640x480.jpg, 274554, 8, 39.074, 265.877, 140.208, 52.2503, 3.43482
../../testImages/100quality/100-image0097-640x480.jpg, 264393, 8, 40.3059, 215.093, 139.439, 50.0814, 3.9448
../../testImages/100quality/100-image0098-640x480.jpg, 261128, 8, 45.6926, 215.598, 138.528, 48.7495, 3.09284
../../testImages/100quality/100-image0099-640x480.jpg, 270948, 8, 40.6759, 266.303, 144.106, 51.2294, 3.23683
../../testImages/100quality/100-image0100-640x480.jpg, 263842, 8, 41.4559, 214.14, 139.696, 52.4883, 104.948
../../testImages/100quality/100-image0101-640x480.jpg, 264230, 8, 60.9379, 248.778, 138.88, 49.6244, 3.35483
../../testImages/100quality/100-image0102-640x480.jpg, 261385, 9, 43.1918, 221.289, 138.608, 52.2293, 3.35483
../../testImages/100quality/100-image0103-640x480.jpg, 281129, 8, 40.8079, 213.847, 141.326, 53.9802, 3.31183
../../testImages/100quality/100-image0104-640x480.jpg, 271854, 8, 39.472, 249.22, 140.065, 53.3002, 3.30783
../../testImages/100quality/100-image0105-640x480.jpg, 264400, 8, 39.8269, 266.001, 178.97, 60.2069, 171.605
../../testImages/100quality/100-image0106-640x480.jpg, 264529, 8, 68.7445, 244.626, 138.399, 51.6993, 3.14984
../../testImages/100quality/100-image0107-640x480.jpg, 266643, 8, 39.163, 245.591, 139.101, 49.8024, 3.74981
../../testImages/100quality/100-image0108-640x480.jpg, 265124, 8, 39.019, 215.571, 138.941, 50.4364, 3.59481
../../testImages/100quality/100-image0109-640x480.jpg, 263896, 8, 39.8599, 226.012, 139.069, 51.3553, 3.65381
../../testImages/100quality/100-image0110-640x480.jpg, 265050, 9, 39.007, 281.399, 139.619, 57.496, 3.21283
../../testImages/100quality/100-image0111-640x480.jpg, 275697, 8, 40.0949, 221.282, 191.136, 54.1622, 175.361
../../testImages/100quality/100-image0112-640x480.jpg, 278232, 8, 65.5436, 245.792, 140.246, 56.1591, 3.38382
../../testImages/100quality/100-image0113-640x480.jpg, 209507, 8, 39.7709, 213.056, 136.209, 46.1326, 3.07984
../../testImages/100quality/100-image0114-640x480.jpg, 215695, 8, 39.002, 213.7, 136.936, 46.0466, 3.49982
../../testImages/100quality/100-image0115-640x480.jpg, 237896, 8, 46.1946, 215.23, 138.865, 49.0675, 3.36483
../../testImages/100quality/100-image0116-640x480.jpg, 235021, 8, 39.452, 268.273, 143.445, 47.4236, 3.36783
../../testImages/100quality/100-image0117-640x480.jpg, 242570, 8, 42.0128, 216.009, 138.816, 48.9655, 110.296
../../testImages/100quality/100-image0118-640x480.jpg, 238594, 8, 70.7194, 259.399, 137.821, 50.1444, 3.21883
../../testImages/100quality/100-image0119-640x480.jpg, 240284, 8, 44.1707, 215.59, 138.199, 47.8535, 3.51282
../../testImages/100quality/100-image0120-640x480.jpg, 255045, 8, 38.899, 220.79, 139.753, 52.4443, 3.66281
../../testImages/100quality/100-image0121-640x480.jpg, 249766, 8, 39.7909, 269.037, 147.683, 51.1684, 3.34983
../../testImages/100quality/100-image0122-640x480.jpg, 245154, 8, 41.2099, 257.007, 138.254, 49.8804, 187.195
../../testImages/100quality/100-image0123-640x480.jpg, 253842, 8, 74.3412, 267.941, 171.77, 51.0004, 3.13884
../../testImages/100quality/100-image0124-640x480.jpg, 261318, 8, 39.688, 267.238, 150.819, 54.1542, 3.31383
../../testImages/100quality/100-image0125-640x480.jpg, 249068, 8, 39.8819, 213.071, 138.288, 50.6054, 3.25183
../../testImages/100quality/100-image0126-640x480.jpg, 252215, 8, 39.062, 229.78, 138.835, 49.1925, 3.31783
../../testImages/100quality/100-image0127-640x480.jpg, 268913, 8, 41.4909, 265.537, 162.23, 52.2733, 174.162
../../testImages/100quality/100-image0128-640x480.jpg, 255129, 8, 69.9184, 265.935, 176.954, 53.7672, 3.18084
../../testImages/100quality/100-image0129-640x480.jpg, 246602, 8, 40.8169, 266.653, 171.556, 49.0595, 3.18884
../../testImages/100quality/100-image0130-640x480.jpg, 248640, 8, 39.053, 213.377, 138.417, 50.1754, 3.14484
../../testImages/100quality/100-image0131-640x480.jpg, 267036, 8, 47.4825, 213.425, 140.169, 54.8242, 5.45072
../../testImages/100quality/100-image0132-640x480.jpg, 271285, 8, 39.205, 267.643, 179.883, 65.7396, 3.26883
../../testImages/100quality/100-image0133-640x480.jpg, 253028, 8, 42.0218, 267.902, 143.636, 85.0756, 2.92985
../../testImages/100quality/100-image0134-640x480.jpg, 254808, 8, 39.076, 244.992, 138.441, 51.8003, 3.37783
../../testImages/100quality/100-image0135-640x480.jpg, 267446, 8, 39.314, 265.067, 161.388, 54.6942, 3.19284
../../testImages/100quality/100-image0136-640x480.jpg, 271427, 8, 39.119, 212.116, 140.666, 55.8811, 3.30483
../../testImages/100quality/100-image0137-640x480.jpg, 253581, 8, 39.7829, 212.85, 138.516, 51.2684, 3.22483
../../testImages/100quality/100-image0138-640x480.jpg, 252634, 8, 39.024, 245.236, 137.902, 48.2365, 3.25983
../../testImages/100quality/100-image0139-640x480.jpg, 261622, 8, 40.4969, 215.444, 139.033, 50.0864, 118.273
../../testImages/100quality/100-image0140-640x480.jpg, 268548, 8, 70.7883, 268.622, 165.866, 52.1223, 3.34583
../../testImages/100quality/100-image0141-640x480.jpg, 252889, 8, 48.7115, 216.274, 138.394, 48.2355, 5.55171
../../testImages/100quality/100-image0142-640x480.jpg, 258200, 8, 40.8229, 216.287, 138.604, 49.2365, 3.24583
../../testImages/100quality/100-image0143-640x480.jpg, 271071, 8, 41.9988, 269.793, 162.852, 55.2641, 3.33983
../../testImages/100quality/100-image0144-640x480.jpg, 272820, 8, 38.913, 268.766, 146.841, 55.6441, 186.945
../../testImages/100quality/100-image0145-640x480.jpg, 257018, 8, 72.5143, 269.862, 175.803, 53.3772, 3.23183
../../testImages/100quality/100-image0146-640x480.jpg, 260624, 8, 38.926, 269.504, 175.903, 51.5493, 3.36283
../../testImages/100quality/100-image0147-640x480.jpg, 271655, 8, 39.248, 213.741, 140.502, 54.5692, 3.30283
../../testImages/100quality/100-image0148-640x480.jpg, 273471, 8, 39.7579, 212.267, 140.209, 55.6611, 3.46582
../../testImages/100quality/100-image0149-640x480.jpg, 256898, 8, 39.9179, 268.163, 179.028, 53.2962, 348.768
../../testImages/100quality/100-image0150-640x480.jpg, 254782, 8, 77.834, 251.216, 139.333, 49.6134, 3.18384
../../testImages/100quality/100-image0151-640x480.jpg, 275312, 8, 39.7709, 247.085, 140.408, 56.0771, 5.8597
../../testImages/100quality/100-image0152-640x480.jpg, 267387, 8, 39.128, 212.579, 139.331, 53.9532, 3.25483
../../testImages/100quality/100-image0153-640x480.jpg, 256402, 8, 46.8106, 213.281, 138.637, 49.4335, 3.56082
../../testImages/100quality/100-image0154-640x480.jpg, 259674, 8, 39.272, 255.556, 139.021, 49.4974, 3.21683
../../testImages/100quality/100-image0155-640x480.jpg, 270901, 8, 40.2969, 256.352, 140.164, 52.8623, 3.8598
../../testImages/100quality/100-image0156-640x480.jpg, 265515, 8, 38.945, 215.051, 139.597, 50.3784, 3.36783
../../testImages/100quality/100-image0157-640x480.jpg, 260956, 8, 42.5428, 216.145, 138.973, 49.6374, 3.24483
../../testImages/100quality/100-image0158-640x480.jpg, 259876, 9, 40.9099, 213.699, 138.614, 53.1493, 3.20283
../../testImages/100quality/100-image0159-640x480.jpg, 264003, 8, 41.4689, 265.844, 148.111, 50.0294, 3.30783
../../testImages/100quality/100-image0160-640x480.jpg, 259035, 8, 41.5489, 212.793, 139.595, 51.2034, 3.28483
../../testImages/100quality/100-image0161-640x480.jpg, 260545, 9, 40.3199, 268.022, 172.857, 54.5672, 177.22
../../testImages/100quality/100-image0162-640x480.jpg, 258023, 8, 61.4628, 268.647, 160.152, 48.2085, 3.18484
../../testImages/100quality/100-image0163-640x480.jpg, 265433, 8, 40.0079, 246.578, 139.192, 50.4274, 3.25483
../../testImages/100quality/100-image0164-640x480.jpg, 276866, 8, 40.2669, 214.778, 140.466, 52.9463, 3.29383
../../testImages/100quality/100-image0165-640x480.jpg, 259471, 8, 46.2136, 214.932, 138.863, 48.8715, 3.20183
../../testImages/100quality/100-image0166-640x480.jpg, 256651, 8, 41.2239, 261.271, 138.682, 48.5735, 3.34583
../../testImages/100quality/100-image0167-640x480.jpg, 265022, 8, 41.1009, 212.248, 139.293, 52.9603, 78.9529
../../testImages/100quality/100-image0168-640x480.jpg, 273035, 8, 66.1996, 235.584, 140.011, 52.5213, 3.22483
